"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","3ZX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
571473750,05/08/2001,"DELL","DELL","Optiplex GX 150","4077L01","PIII 1.0GHz","128Mb","20Gb","Centro de Cómputo","Bodega",,,
502103286,"01/19/2001","Dell","DELL","Poweredge 1400","40BKB01","PIII 800MHz","256 Mb","18 Gb","Centro de Cómputo","Lab. Chiquimula",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","40W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","40Y1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","4177L01","PIII 1.0GHz","128Mb","20Gb","Asuntos Estudiantiles",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","41W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 4",,,
867323933,01/07/2002,"DELL","DELL","Precision 340","42L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
867311284,01/07/2002,"DELL","DELL","Precision 340","44FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
497512492,13/10/2003,"DELL","DELL","Precision 360","459YM31","P4 2.4GHz","1G Mb","40 Gb","Facultad de Odontologia","Willy Nedelly",,,
867311284,01/07/2002,"DELL","DELL","Precision 340","45FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867321374,01/07/2002,"DELL","DELL","Precision 340","49K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
,,,,,"4BLKW01",,,,"Centro de Cómputo","Director de Centro de Cómputo",,,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","4BWWB01","PIII 933GHz","128Mb","20Gb","Facultad de Derecho Matutino",,,,
571473768,05/10/2001,"DELL","DELL","Optiplex Gx 150","4DM6L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","4DWWB01","PIII 933GHz","128Mb","20Gb","POES",,,,
867322877,02/07/2002,"DELL","DELL","Precision 340","4FK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","4FL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867318891,28/06/2002,"DELL","DELL","Precision 340","4GW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","4J3YB01","PIII 933GHz","128Mb","20Gb","CR. Escuintla",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","4JY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,13/04/2005,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","4K3YB01","PIII 933GHz","128Mb","20Gb","Centro de Cómputo","Laboratorio 4",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","4L3YB01","PIII 933GHz","128Mb","20Gb","CR. Chimaltenango",,,,
