867318891,28/06/2002,"DELL","DELL","Precision 340","CFW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
571473768,05/10/2001,"Dell","DELL","Optiplex Gx 150","CGM6L01","PIII 1.0GHz","128Mb","20Gb","CR. Antigua",,,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","CJ3YB01","PIII 933GHz","128Mb","20Gb","Biblioteca",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","CJW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","CKW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
502104060,"01/24/2007","Dell","DELL","Optiplex Gx 150","CL3YB01","PIII 933GHz","128Mb","20Gb","Ceprod","Elmer Lopez",,,
502104060,"01/24/2008","Dell","DELL","Optiplex Gx 150","CM3YB01","PIII 933GHz","128Mb","20Gb","Registro","Sandra Orozco",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","CMY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
877678557,14/07/2002,"DELL","DELL","OptiPlex GX 260T","CNQ2N11","P4 1.8GHz","256 Mb","40 Gb","Facultad de Odontologia",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","CNY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
877678557,14/07/2002,"DELL","DELL","OptiPlex GX 260T","CPQ2N11","P4 1.8GHz","256 Mb","40 Gb","Facultad de Odontologia",,,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","CTX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","CX67L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","CXK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","CXX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
,,"DELL","DELL","Optiplex Gx 150","CY57L01",,,,"Facultad de Ing. Sistemas Vesp.",,,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","CY67L01","PIII 1.0GHz","128Mb","20Gb",,,,,
867316333,28/06/2002,"DELL","DELL","Precision 340","CYSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","CZ67L01","PIII 1.0GHz","128Mb","20Gb","Facultad de Ing. Sistemas Sabado",,,,
571473750,05/08/2001,"DELL","DELL","Optiplex GX 150","D077L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
867323933,01/07/2002,"DELL","DELL","Precision 340","D1L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867311284,01/07/2002,"DELL","DELL","Precision 340","D4FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
497512492,13/10/2003,"DELL","DELL","Precision 360","D6XXM31","P4 2.4GHz","1G Mb","40 Gb","Facultad de Ing. Industrial",,,,
502105745,23/01/2001,"DELL","DELL","Latitude C600","D7JWB01","PIII 750MHz","128Mb","10Gb","Auditoria",,,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","D7WWB01","PIII 933GHz","128Mb","20Gb","Biblioteca",,,,
150964179,,,,,"D7YG6",,,,"Ya no Sirve","Equipo Robado",,,
867321374,01/07/2002,"DELL","DELL","Precision 340","D9K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","D9WWB01","PIII 933GHz","128Mb","20Gb","Registro","Leticia Moraga",,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","DBWWB01","PIII 933GHz","128Mb","20Gb","CR. Mazatenango",,,,
867322877,02/07/2002,"DELL","DELL","Precision 340","DCK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867322877,02/07/2002,"DELL","DELL","Precision 340","DFK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","DFL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","DGL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
571473768,05/10/2001,"Dell","DELL","Optiplex Gx 150","DGM6L01","PIII 1.0GHz","128Mb","20Gb","Registro","Lic. Clodoveo Torres",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","DHY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","DJ3YB01","PIII 933GHz","128Mb","20Gb","CR. Quetzaltenango",,,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","DL3YB01","PIII 933GHz","128Mb","20Gb","Facultad de Derecho","M-110",,,
867329245,02/07/2002,"DELL","DELL","Precision 340","DLN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","DLY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","DN3YB01","PIII 933GHz","128Mb","20Gb","Auditoria","Oscar Agustin",,,
,,,,"Inspiron 2650","DRF1F21",,,,"Facultad de Odontologia",,,,
,,,"Dell","Optiplex Gxa","DWG69",,,,"Ceprod","Jonathan Mendez",,,
,,,"Dell","Optiplex Gxa","DWG6S",,,,"Carné","Mayra Pérez",,,
,,,"Dell","Optiplex Gxa","DWG7F",,,,"Tesoreria","Jairo de León",,,
,,,"Dell","Optiplex Gxa","DWG7H",,,,"Registro","Haydee Contreras",,,
,,,,"Optiplex Gxp","DWG8P",,,,"Facultad de Derecho","Ciencias Económicas",,,
,,,"Dell","Optiplex Gxa","DWG8T",,,,"Registro","Maria Segura",,,
,,"DELL","DELL","Optiplex Gxa","DWG8Z",,,,"Medicina",,,,
,,,"Dell","Optiplex Gxa","DWG93",,,,"Registro","Jacobo",,,
,,,,,"DWG98",,,,"Facultad de Admon. Matutino","Lic. Julio Cesar Fuentes",,,
,,,,,"DWG9J",,,,"Contabilidad",,,,
,,"DELL","DELL","Optiplex Gxa","DWG9Q",,,,"Desarrollo",,,,
,,,"Dell","Optiplex Gxa","DWG9V",,,,"Personal","Zuigli Castellanos",,,
,,,"Dell","Optiplex Gxa","DWG9X",,,,"Registro","Karla Cabrera",,,
,,,"Dell","Optiplex Gxa","DWGB1",,,,"Ceprod","Estuardo",,,
,,"DELL","DELL",,"DWNY7",,,,"Desarrollo",,,,
867316333,28/06/2002,"DELL","DELL","Precision 340","DWSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","DWX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","DX67L01","PIII 1.0GHz","128Mb","20Gb","Facultad de Admon. Plan Sabado",,,,
571473750,05/08/2001,"DELL","DELL","Optiplex GX 150","DY67L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
867320046,01/07/2002,"DELL","DELL","Precision 340","DYJ3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","DYK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","DYV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","DZ67L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
867320046,01/07/2002,"DELL","DELL","Precision 340","DZJ3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","DZV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","DZX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","F077L01","PIII 1.0GHz","128Mb","20Gb","Casa de Campo",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","F0W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","F1W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 1",,,
867323933,01/07/2002,"DELL","DELL","Precision 340","F2L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
867320046,01/07/2002,"DELL","DELL","Precision 340","F3K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867320046,01/07/2002,"DELL","DELL","Precision 340","F4K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","FDL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","FFL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867318891,28/06/2002,"DELL","DELL","Precision 340","FFW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","FJ3YB01","PIII 933GHz","128Mb","20Gb","Biblioteca",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","FJW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","FJY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","FK3YB01","PIII 933GHz","128Mb","20Gb","Centro de Cómputo","Soporte",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","FKY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula","Luis Rivera",,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","FL3YB01","PIII 933GHz","128Mb","20Gb","Facultad de Derecho","M-110",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","FMY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","FN3YB01","PIII 933GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","FVX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","FWK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","FXK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
571473750,05/08/2001,"DELL","DELL","Optiplex GX 150","FY67L01","PIII 1.0GHz","128Mb","20Gb","Tesoreria","Martha de Rodriguez",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","FYK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","FYV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","FYX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","G077L01","PIII 1.0GHz","128Mb","20Gb",,,,,
,,"DELL","DELL","Optiplex Gx 100","G0TPA",,,,"Medicina","Dra. Fortin",,,
,,,,"Optiplex Gx 150","G177L01",,,,"Facultad de Ing. Sistemas Matutino","Ing. García",,,
867323933,01/07/2002,"DELL","DELL","Precision 340","G1L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
502106495,23/01/2001,"DELL","DELL","Latitude C600","G1YWB01","PIII 850MHz","256Mb","20Gb","Ya no Sirve","Equipo Robado",,,
867323933,01/07/2002,"DELL","DELL","Precision 340","G2L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
497512492,13/10/2003,"DELL","DELL","Precision 360","G49YM31","P4 2.4GHz","1G Mb","40 Gb","Medicina",,,,
867311284,01/07/2002,"DELL","DELL","Precision 340","G4FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
497512492,13/10/2003,"DELL","DELL","Precision 360","G6XXM31","P4 2.4GHz","1G Mb","40 Gb","Facultad de Ing. Industrial",,,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","G7WWB01","PIII 933GHz","128Mb","20Gb","Centro de Cómputo","Laboratorio 4",,,
502106966,"01/24/2001","DELL","DELL","Latitude C600","G9JWB01","PIII 750MHz","128Mb","20Gb","Centro de Cómputo","Alquiler",,,
867321374,01/07/2002,"DELL","DELL","Precision 340","G9K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","GCWWB01","PIII 933GHz","128Mb","20Gb","CR. Jalapa",,,,
,,,,"Optiplex Gx 150","GD77L01","PIII 1.0GHz","128Mb","20Gb","CR. Antigua",,,,
337785174,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFSUR","PIII 500MHz","128Mb","6.4Gb","CR. Jutiapa",,,,
337785174,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFSUT","PIII 500MHz","128Mb","6.4Gb","Auditoria","Elmer Prado",,,
337785174,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFSUX","PIII 500MHz","128Mb","6.4Gb","CR. Coatepeque",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSUY","PIII 500MHz","128Mb","6.4Gb","Ya no Sirve",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSUZ","PIII 500MHz","128Mb","6.4Gb","Facultad de Ing. Industrial",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSVA","PIII 500MHz","128Mb","6.4Gb","Registro",,,,
337785174,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFSVD","PIII 500MHz","128Mb","6.4Gb","CR. Totonicapan",,,,
337785174,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFSVE","PIII 100MHz","128Mb","6.4 GB","Registro",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSVI","PIII 500MHz","128Mb","6.4Gb","Biblioteca",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSVN","PIII 500MHz","128Mb","6.4Gb","Ya no Sirve","CR. Mazatenango",,,
337785174,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFSVP","PIII 500MHz","128Mb","6.4Gb","POES",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSVQ","PIII 500MHz","128Mb","6.4Gb","Facultad de Administración Vespertino",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSVU","PIII 500MHz","128Mb","6.4Gb","CR. Escuintla",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSW3","PIII 500MHz","128Mb","6.4Gb","Desarrollo",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSWA","PIII 500MHz","128Mb","6.4Gb","Servicios Administrativos",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSWI","PIII 500MHz","128Mb","6.4Gb","IECA","Caja de Colegios",,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSWQ","PIII 500MHz","128Mb","6.4Gb","Ceprod",,,,"Ruth Hurtado"
337785174,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFSWU",100,128,6.4,"Ceprod","Mayra Perez",,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSXA","PIII 500MHz","128Mb","6.4Gb","Facultad de Derecho Matutino",,,,
337785174,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFSXE",100,128,6.4,"Tesoreria","Derick Escobar",,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSXI","PIII 500MHz","128Mb","6.4Gb","Medicina",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSXJ","PIII 500MHz","128Mb","6.4Gb","Medicina",,,,
337785174,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFSXS","PIII 500MHz","128Mb","6.4Gb","CR. El Progreso",,,,
337785174,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFSXU","PIII 500MHz","128Mb","6.4Gb","Auditoria",,,,
337785174,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFSY1","PIII 500MHz","128Mb","6.4Gb","CR. Petén",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTVU","PIII 500MHz","128Mb","6.4Gb","CR. Coatepeque",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTWE","PIII 500MHz","128Mb","6.4Gb","Registro",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTWU","PIII 500MHz","128Mb","6.4Gb","Asuntos Estudiantiles",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTXA","PIII 500MHz","128Mb","6.4Gb","Asuntos Académicos",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTXI","PIII 500MHz","128Mb","6.4Gb","CR. San Marcos",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTXU","PIII 500MHz","128Mb","6.4Gb","Registro","Dinora Avendaño",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTYE","PIII 500MHz","128Mb","6.4Gb","Ya no Sirve",,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFTYI","PIII 500MHz","128Mb","6.4Gb","CR. Chimaltenango",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTZA","PIII 500MHz","128Mb","6.4Gb","Unidad de Pagos","Margonia Lopez",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTZE","PIII 500MHz","128Mb","6.4Gb","CR. Huhuetenango",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTZI","PIII 500MHz","128Mb","6.4Gb","Tesoreria","Edgar Gómez",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTZU","PIII 500MHz","128Mb","6.4Gb","Registro",,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU00","PIII 500MHz","128Mb","6.4Gb","Registro",,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU01","PIII 500MHz","128Mb","6.4Gb","Facultad de Administración Vespertino",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU02","PIII 500MHz","128Mb","6.4Gb","Registro",,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU03","PIII 500MHz","128Mb","6.4Gb","Construcción","Marlen Mansilla",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU04","PIII 500MHz","128Mb","6.4Gb","IECA","CED",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU05","PIII 500MHz","128Mb","6.4Gb","Tesoreria","Armando Garcia",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU06","PIII 500MHz","128Mb","6.4Gb","Registro","Silvia de Leon",,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU07","PIII 500MHz","128Mb","6.4Gb",,,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU08","PIII 500MHz","128Mb","6.4Gb",,,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU09","PIII 500MHz","128Mb","6.4Gb","Registro",,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU0A","PIII 500MHz","128Mb","6.4Gb","Desarrollo",,,,
,,,,,"GFU0B",,,,"Contabilidad",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU0C","PIII 500MHz","128Mb","6.4Gb","Tesoreria","Juan Gabriel Maza",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU0D","PIII 500MHz","128Mb","6.4Gb","Registro","Telma Romero",,,
867318891,28/06/2002,"DELL","DELL","Precision 340","GFW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
571473768,05/10/2001,"Dell","DELL","Optiplex Gx 150","GGM6L01","PIII 1.0GHz","128Mb","20Gb","Desarrollo",,,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","GK3YB01","PIII 933GHz","128Mb","20Gb","Archivo",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","GKW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
867329245,02/07/2002,"DELL","DELL","Precision 340","GLN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","GLW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
,,"DELL","DELL","Optiplex Gx 100","GOTLI",,,,"Centros Regionales",,,,
,,"DELL","DELL","Optiplex Gx 100","GPU2K",,,,"Centros Regionales","Daly Reyes",,,
,,"DELL","DELL","Optiplex Gx 100","GUFUF",,,,"Facultad de Odontologia",,,,
,,,"Dell","Optiplex Gx 100","GUFUG",,,,"Vice Rectoria Administrativa","Melita Morales",,,
,,,,"Optiplex Gx 100","GUFUM",,,,"Medicina",,,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","GVK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
497513664,21/10/2003,"DELL","DELL","Poweredge 2600","GVXMN31","PIII 533MHz","4GB","73Gb  * 3","Desarrollo","Servidor Reda",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","GXX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","GY67L01","PIII 1.0GHz","128Mb","20Gb","Centro de Información",,,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","GYK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
571473750,05/08/2001,"Dell","DELL","Optiplex GX 150","GZ67L01","PIII 1.0GHz","128Mb","20Gb","Mineduc","Luis Paredes",,,
867320046,01/07/2002,"DELL","DELL","Precision 340","GZJ3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","GZV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","H0W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","H0Y1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","H1W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Telecomunicaciones",,,
877691063,14/07/2002,"DELL","DELL","Precision 340","H4Q1N11","P4 2.0 GHz","512 Mb","40 Gb",,,"VRVS",,
336083043,16/02/2000,"DELL","DELL","PowerEdge 4300","H50BU","PIII 600MHz","256Mb","9Gb * 3","Centro de Cómputo","Bodega",,,
336078332,16/02/2000,"DELL","DELL","Poweredge 2400","H5B1L","PIII 533MHz","128Mb","9.1Gb","Centro de Cómputo","Servidor Windows",,,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","H6WWB01","PIII 933GHz","128Mb","20Gb","Registro",,,,
497512492,13/10/2003,"DELL","DELL","Precision 360","H6XXM31","P4 2.4GHz","1G Mb","40 Gb","Facultad de Ing. Industrial",,,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JTR","PII 400MHz",64,4.3,"Ceprod","Cristian Mejia",,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JTT","PII 400MHz",64,4.3,"Ceprod","Alex Orellana",,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JTV","PII 400MHz","256Mb","40Gb","Facultad de Derecho","Mirta Dávila",,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JTY","PII 400MHz","64Mb","4.3Gb","Servicios Administrativos","Ana Castro",,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JV0","PII 400MHz",64,4.3,"Asuntos Estudiantiles",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV1","PII 400MHz","64Mb","4.3Gb",,,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV3","PII 400MHz","64Mb","4.3Gb","Facultad de Derecho","Clinicas Jurídicas",,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV4","PII 400MHz","64Mb","4.3Gb","Facultad de Odontologia",,,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JV5","PII 400MHz",64,4.3,"Ceprod",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV6","PII 400MHz","64Mb","4.3Gb","Ya no Sirve",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV8","PII 400MHz","64Mb","4.3Gb","Facultad de Odontologia","Carla López",,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV9","PII 400MHz","64Mb","4.3Gb",,,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVB","PII 400MHz","256Mb","40Gb","Medicina",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVC","PII 400MHz","64Mb","4.3Gb","Facultad de Ing. Industrial",,,,
